sample_id,text,aspect_target,aspect_category,opinion_span,stance,explanation
607,"Legal immigration is not the issue . Illegal immigration is the issue . Arguing that legal immigration and illegal immigration together sometimes produce positive results is irrational . We can have legal immigration without illegal immigration . The truth is that students whose families immigrate legally from Europe , Asia and Africa - but not Latin America - to the United States are more likely to graduate from high school than native - born students while students whose families immigrate illegally are far more likely to drop out than native - born students .",Illegal immigration,Policy & Governance,Illegal immigration is the issue,HATE,Illegal immigration is the issue
608,"As an American Latino I do not at all like the separation between ' us ' and everyone else . We are one nation . Why are we so quick to say Latino families should be afforded higher education ? How , in this age of political correctness , is that okay ? Are we going to run around wearing Brown Pride shirts next ? If white folk decided to have ' white only ' forums or ' white only ' college programs that would be labeled racist and exclusionary . We Latinos separate ourselves ENOUGH by insisting on very little to zero assimilation in our communities and on being Latin in everything we say , do , read and watch . We even teach our children to shun away from saying they are Americans like its a bad thing . College is NOT a right . As such , we should not to get a free ride just because we happen to speak Spanish at home . It ' s an archaic way of thinking and not what the American Dream is supposed to be . I do not support segregation in any form . It creates animosity and we have enough of that already . I do not agree with the all black institutions or the Nedro college fund either .",separation between ' us ' and everyone else,Community Impact & Social Cohesion,I do not at all like the separation between ' us ' and everyone else,HATE,I do not at all like the separation between ' us ' and everyone else
609,"Let us not forget that Amy Chua is a professor At Yale and that she can point that out to her children if they ever question her methods Having the street cred when it comes to imparting such strict discipline is pretty useful . Compare that to the run of the mill parent trying to be strict . Generally , there will be rebellion .",strict discipline,Empathy & Support,pretty useful,HOPEFUL,pretty useful
610,Be Smart Gavin ! Hydroxychloroquine Works ! CA is going BROKE . Your STATS mean Nothing see - no - evil_monkey . Exaggerated Inflated Manipulated . Are those deaths from Other Diseases ? Are those positives ASymptomatic ? OPEN UP CA before it is Decimated by Homelessness Joblessness Depression NoMasks,Homelessness,Community Impact & Social Cohesion,Decimated by Homelessness,HATE,Decimated by Homelessness
611,MAGAmericans reflect the resolve President Trump demonstrates everyday . We show up in great numbers at every rally he hosts to show our support for his policy and commitment to our country . God bless him wherever he goes to fight for us .,his policy,Policy & Governance,our support for his policy,HOPEFUL,our support for his policy
612,The Israeli drumbeat of aggression against Iran is lunacy and the US would be insane to support them in that regard . All sides have said that sanctions are effective and Iran is no closer to going nuclear than Iraq was - - that was the biggest fumble in US history . Netanayu had no intention of listening to any US suggestions that settlements were contrary to peace and it would be a waste of time to try to get him to back down .,settlements,Policy & Governance,contrary to peace,NEUTRAL,settlements were contrary to peace
613,"This is a horrible idea . Anyone who has worked on the border , or in Mexico ( as I do ) , knows there are plenty of middle and upper - class Mexicans who come to the U.S. for an education . I think Dr . Lee is really perpetuating stereotypes here . In my opinion , affirmative action should be based on economic class , no matter what the race .",affirmative action,Policy & Governance,This is a horrible idea,HATE,This is a horrible idea
614,"Dr Gallardo says : "" Not surprisingly , labor accounts for percent of all variable costs for growers ( based on Washington - grown Gala apples ) . "" Now let us ask what Dr . Gallardo has avoided telling us : "" What percentage of the FULL costs , including land does labor cost . "" In most agriculture , land rents , the landowners ' profits are the major chunk of full costs . If labor costs went up , even before prices went up , the price of land would go down , bearing the brunt of the increased cost of labor . There is no reason fore the land to disappear . There are not that many alternative uses . It ' s not like farmers , who claim to have built the land with their own two hands , will stop building land . Why do we insist on keeping many hundreds of thousands of people in deep poverty to keep fruit cheap and landowners rich ? Why is that a fair policy ? And who among the Times six "" experts "" ( including "" immigrant advocates "" ) is here to represent the interests of American workers who are required to work for less because of illegal immigration ?",keeping many hundreds of thousands of people in deep poverty,Employment & Economy,Why do we insist on keeping many hundreds of thousands of people in deep poverty to keep fruit cheap and landowners rich ?,HATE,Why do we insist on keeping many hundreds of thousands of people in deep poverty to keep fruit cheap and landowners rich ?
615,"Elizabeth Warren wants to expand immigration and also give illegal immigrants free healthcare , paid for by middle - class taxpayers . And also she will raise taxes ! DemDebate VOTE TRUMP !",illegal immigrants free healthcare,Addiction & Health,"free healthcare , paid for by middle - class taxpayers",HATE,"illegal immigrants free healthcare , paid for by middle - class taxpayers"
616,This rally4life shit ! How people support it I will never understand . SemST,rally4life,Empathy & Support,shit,HATE,rally4life shit
617,"People deserve more than what they were getting . That ' s what you do not understand Finally , people will be able to afford rent , food AND medicine ! That ' s the point ! Bernie","rent , food AND medicine",Empathy & Support,people deserve more than what they were getting,HOPEFUL,people deserve more than what they were getting
618,"In my experience , those with trust funds could afford to work the unpaid internships that lead to full - time jobs . Those who can not afford to work for nothing , whose parents do not support them while they are doing unpaid work , can not get in at the bottom level of companies that hire ' interns ' and in this way - - money = opportunity is put in the hands of those with capital .",unpaid internships,Employment & Economy,lead to full - time jobs,NEUTRAL,unpaid internships that lead to full - time jobs
619,"Too many activists are careerists trading street cred for well paid careers . Too often they claim to do good but end up doing well . One of the major negative consequences of the s was the creation of a class of professional protestors , basically hired guns looking for a cause to advance their careers . They generally lack the technical chops to do much , and end up wearing very expensive suits ; while living in gated communities .",activists,Empathy & Support,careerists trading street cred for well paid careers,HATE,careerists trading street cred for well paid careers
620,Is shutting down schools going to affect teacher and learner ' s mental health ? OurFutureNeedsYou WellnessWednesday SchoolsMustShutdown,teacher and learner ' s mental health,Addiction & Health,going to affect,NEUTRAL,Is shutting down schools going to affect teacher and learner ' s mental health ?
621,"The undocumented migrant who stays and becomes a member of the community , adhering to the laws and contributing to the community is , in essence , a de facto citizen . He or she has earned the rights of citizenship in ways that the lucky few who obtain green cards in the lottery or have employers who can finagle HIB visas . have not earned citizenship . Congress should stop the pandering to the fearful and hateful , and figure out a way to define and recognize de facto citizenship .",de facto citizenship,Policy & Governance,He or she has earned the rights of citizenship,HOPEFUL,He or she has earned the rights of citizenship
622,. Nice tribute to DrFauci who obviously deserves every accolade that comes his way . Also nice to see former POTUS clips and be reminded of the dignity and grace with which they conducted their relationships with heroes like Dr . Fauci . COVID19,dignity and grace,Empathy & Support,deserves every accolade,HOPEFUL,deserves every accolade
623,"It is as American as apple pie , if apple pie means groveling . Why not afford workers their dignity ? Why can not people who do a difficult job be given a fair wage . Such a system works elsewhere . The wait staff knows that poor service hurts business , therefore putting their job at risk .",dignity,Empathy & Support,Why not afford workers their dignity ?,HOPEFUL,Why not afford workers their dignity ?
624,"My granddaughter lives with me yr HAS to go to school ! do not you know so many grandparents are bringing up their homeless grandchildren , some with no government assistance ! She ' s been doing very well with homeschooling . CloseTheSchools",homeless grandchildren,Empathy & Support,so many grandparents are bringing up their homeless grandchildren,HOPEFUL,so many grandparents are bringing up their homeless grandchildren
625,"is a fringe economist . He has no medical training . no infectious disease expertise . He has not served six GOP & Dem . presidents to keep Americans safe . Navarro pushed hydroxychloroquine , criticized shelter at home orders , and covers for Trump . IStandWithFauci",shelter at home orders,Policy & Governance,criticized shelter at home orders,HATE,criticized shelter at home orders
626,"Problem is in Massachusetts ( and other places ) there is NO where to place these patients / addicts . Sounds like a good idea , ( sort of ) , on camera or in writing , to force people into help but there is no there . No facilities or beds period . Sort of putting the horse in front of the cart . Build them and then just maybe they will come . Where I live ( pop . , ) , there ' s exactly one small , public rehab center currently with a - month wait list . We simply do not have the infrastructure in place to accept ( or force ) people into receiving help . Honestly I do not think the money nor the will is really there . A lot of lip service from our politicians . I question the Gov ' s proclamation . Did not anyone on his team do the research to discover we have no place to put them ?",public rehab center,Addiction & Health,"exactly one small , public rehab center currently with a - month wait list",NEUTRAL,"exactly one small , public rehab center currently with a - month wait list"
627,If I do not support Biden for basically the same reasons I did not support Clinton am I still a woman - hating misogynist ? JoeBiden ImWithHer FeelTheBern2020,Biden,Policy & Governance,do not support Biden,NEUTRAL,do not support Biden
628,"If becomes president I am not leaving the country I will just go "" undocumented . SemST",undocumented,Policy & Governance,I am not leaving the country,HOPEFUL,I am not leaving the country
629,"Europeans are being told to continue supporting mass unchecked migration into their countries because the people coming , are fleeing the same type of terrorist attacks that some who are migrating , are now bringing into Europe . That ' s a paradox ! Along the same nonsensical strategy , it ' s akin to telling Europeans to support mass unchecked migration into their countries from those fleeing the deadly Ebola virus . Unfortunately , radicalized Islamist ' s are akin to a virus that spreads and kills those who do not prescribe to their Ideology . For non Muslim Europeans there is no immunity , and the Paris attacks are likley just the beginning of this self imported virus .",mass unchecked migration,Community Impact & Social Cohesion,a paradox,HATE,That ' s a paradox !
630,"How do you justify supporting Biden - a proven liar with a nightmare track record for anyone that cares about CivilRights & Truth ? I really want to know how anyone can support him . Why ? How ? He ' s not new . Joe ' s deeds & words are all public , yet he lies .",Biden,Policy & Governance,a proven liar with a nightmare track record,HATE,a proven liar with a nightmare track record
631,"I have owned five cats ( more accurately , they owned me ) in my adult life , and every one has been declawed . Each cat was rescued from a shelter , three were under a year old , and our current two had lived in a no - kill shelter for three years before coming to our home . My vet sends the cats home the day following surgery with a pain patch on , and the cats are very comfortable yet able to jump onto furniture and use their litter box . The patch falls off in a few days , and life goes on . All of my cats have been spayed / neutered and indoor animals , no exceptions allowed , and they live long , happy , spoiled lives . It ' s okay to care about my cats and the way my furniture looks , too .",shelter,Shelter & Housing,rescued from a shelter,NEUTRAL,rescued from a shelter
632,One day berniesanders is going to come to the realization . it ' s not about policy . we just do not like him !,berniesanders,Policy & Governance,we just do not like him,NEUTRAL,we just do not like him
633,""" Despite consistently high popular support for legalization , Congress has failed to act . "" I keep reading this bogus claim peddled by pro - amnesty enthusiasts about enormous support for "" legalization "" of illegal immigrants , but have yet to see any evidence of it . As a matter of fact , the reverse is true as proven by the rise of Trump and other politicians who are campaigning against illegal immigration . Why does the NYT keep publishing this falsehood ?",legalization,Policy & Governance,bogus claim peddled by pro - amnesty enthusiasts,HATE,bogus claim peddled by pro - amnesty enthusiasts
634,"To be clear the problem of separating children from parents seeking asylum is a Trump Republican Party problem . Created by Stephen Miller & John Kelly , approved by , implemented by . Its up to Congress to reign in their leader",separating children from parents seeking asylum,Policy & Governance,problem,HATE,the problem of separating children from parents seeking asylum is a Trump Republican Party problem
635,Facebook told Digital Trends the Trump ads were violating our policy against organized hate .,Trump ads,Policy & Governance,were violating our policy against organized hate,NEUTRAL,were violating our policy against organized hate
636,"Im fine with the bicyclists and the bike lanes . Just enforce traffic laws on bicyclists ! No more running red lights or stop signs or riding on sidewalks . That ' s all I ask . Including the Prospect Park West lane - when I cross that bike lane to go into the park I do not want to be run down by a bicyclist I can hardly see because of the limited sight distance . As a driver I stop and wait at lights , and so should the bicyclists .",traffic laws on bicyclists,Public Safety,Just enforce traffic laws on bicyclists !,NEUTRAL,Just enforce traffic laws on bicyclists !
637,"If the border between Canada and the U.S. is closed . where are we going to go to get healthcare ? Pharmaceuticals and the like ? We can not , apparently , avoid charging exorbitant prices in the U.S. Maybe we try to change this system and control pharma companies . M4A Sanders",healthcare,Addiction & Health,"We can not , apparently , avoid charging exorbitant prices",HOPEFUL,Maybe we try to change this system and control pharma companies
638,You do not treat an illness that effects the heart with a drug that effects the heart . It ' s that fucking simple . Hydroxychloroquine COVIDIOTS WearADamnMask,illness that effects the heart,Addiction & Health,You do not treat an illness that effects the heart with a drug that effects the heart,NEUTRAL,You do not treat an illness that effects the heart with a drug that effects the heart
639,Babies are humans to support the prolife movement SemST,prolife movement,Empathy & Support,support the prolife movement,HOPEFUL,support the prolife movement
640,"As Truman stated so many years ago , "" It has become an operational and at times a policy - making arm of the Government . This has led to trouble and may have compounded our difficulties in several explosive areas . "" Indeed , the CIA / NSA has become an all powerful , unaccountable , unconstitutional fourth wing of government in control of the Executive and running our foreign policy to the detriment of the world and of our basic rights as citizens . The CIA has always been above the law , uncontrollable and unaccountable . It is responsible for more crimes against humanity than any other organization or government , orchestrating civil wars , coups , establishing brutal dictatorships from Guatemala to Chile to Iran , training and overseeing death squads and torture around the globe . It is past time to abolish this monstrous institution along with its other faces ; NSA , NATO , USAID and put intelligence gathering back in the military with heavy , independent oversight to prevent abuse . It is time to prosecute those responsible for international crimes and human rights abuse . It is also telling that the Times , know to be connected to the CIA , did not have former CIA analyst Ray McGovern in this conversation .",CIA / NSA,Policy & Governance,"has become an all powerful , unaccountable , unconstitutional fourth wing of government",HATE,"has become an all powerful , unaccountable , unconstitutional fourth wing of government"
641,"Quite simply , the Palestinian authority needs to recognize Israel ' s right to exist as a Jewish state , and Hamas ( if they are a participant ) needs to disavow its commitment to the destruction of Israel and the Jews . Until that happens , it ' s hard to see how any rational , objective person could support Palestinian statehood .",Palestinian authority,Policy & Governance,needs to recognize Israel ' s right to exist as a Jewish state,NEUTRAL,the Palestinian authority needs to recognize Israel ' s right to exist as a Jewish state
642,Asking someone else to pay more taxes so I can get something free is Anti American and b / c you support that policy you will never be POTUS . Most Americans ARE NOT FREELOADERS . BernieSanders,that policy,Policy & Governance,Asking someone else to pay more taxes so I can get something free is Anti American,HATE,Asking someone else to pay more taxes so I can get something free is Anti American
643,This is the strength can bring to . Our foreign policy is an absolute disaster .,foreign policy,Policy & Governance,an absolute disaster,HATE,an absolute disaster
644,"Yes , the National Enquirer & FOX News are the enemy of the people , along with the fascist GOP leaders they support . resign criminal Trump",the National Enquirer & FOX News,Empathy & Support,are the enemy of the people,HATE,are the enemy of the people
645,"Hey , Bernie supporters , let us get the follower numbers up for Justin . Support our BernieSanders endorsers and surrogates . Let us do this !",Bernie supporters,Empathy & Support,Support our BernieSanders endorsers and surrogates,HOPEFUL,Support our BernieSanders endorsers and surrogates
646,"My children & I are all dual citizens of Canada & the US . It seems an ideal arrangement , as they & I balance the great opportunities in the US vs the great benefits ( free health care , great affordable higher education , stable economy , banks , etc . ) as well as opportunity in Canada . I & they can choose whichever course / country seems best . Meanwhile , we are each happy to support ( with taxes ) whichever country we are living in .",free health care,Addiction & Health,great benefits,HOPEFUL,great benefits
647,"Free health care , child care , housing , college , reparations , eliminating the Electoral College , while letting - year olds and felons vote . The DemocraticParty has moved so far left it ' s become comical . DemocraticDebate","Free health care , child care , housing , college , reparations , eliminating the Electoral College , while letting - year olds and felons vote",Policy & Governance,has moved so far left it ' s become comical,HATE,has moved so far left it ' s become comical
648,"Never . The child is too young to have free will . It should be left to the child as an adult to select a religion or to select none . Until then , health and welfare should be granted and protected aside from a parent or a church . And women ' s health should be above all religious interpretation and separate from any religion ' s views . We have separation of church and state and this should be the predominant principle of being a US citizen . Any church that objects should be denied tax status and ruled a rogue organization .",separation of church and state,Policy & Governance,this should be the predominant principle of being a US citizen,HOPEFUL,this should be the predominant principle of being a US citizen
649,"If I send my kids to a private school , in most states , I do not get any form of a tax credit . Yet I still pay taxes to support the public schools . Why should home - schoolers be treated any differently ? How will this prevent a bunch of families from having children , giving them the bare minimum of education at home to pass the tests ( if testing is implemented ) , and then receiving a big check in the mail from state ? How is this any different from welfare ?",public schools,Policy & Governance,I still pay taxes to support the public schools,NEUTRAL,I still pay taxes to support the public schools
650,"The reason many Americas feel low - paid immigration takes jobs from our own citizens is the decline of moderate living - wage jobs . Now , citizens who would typically have worked in factories and other unskilled roles have no choice but to move downstream into food service and lawn care . Twenty years ago when we still had a healthy job market , Mexicans were blowing leaves off lawns , skimming pools , and bussing tables for sub - minimum wage pay . No one complained that they were stealing work from citizens .",immigration,Employment & Economy,immigration takes jobs from our own citizens,HATE,immigration takes jobs from our own citizens
651,"+ years and you / congress still complaining about collusion . Years and years , many administrations , many legislators talking about immigration , PRESIDENT Trump is the first to act at this level . Disrespect for the flag , disrespect for the Pledge , on and on , nothing done until T",congress,Policy & Governance,still complaining about collusion,NEUTRAL,congress still complaining about collusion
652,. what I am paying attention to is policy . I dont like Bidens policy and I would never vote for him . That is the long and short of it . I am posting something later about nationalism versus supremacism . I hope you read it . / end,Bidens policy,Policy & Governance,I dont like Bidens policy,NEUTRAL,I dont like Bidens policy
653,"I am all for broad education . I am a product of it . As a teacher and professor I spent my professional life in it , . And in my college planning practice , I have guided most of my students towards it . But Mr . Hamed is exactly right when he says , "" If our goal is to lift students from poverty to high - paying programming jobs , this school ' s curriculum is admirable . "" It may or may not produce the next Steve Jobs - we can argue about how geniuses arise some other time - but good vocational education lifts students who otherwise might flounder and founder into jobs that provide them with pride , stability and a good living . I wish more schools did as much .",vocational education,Employment & Economy,"good vocational education lifts students who otherwise might flounder and founder into jobs that provide them with pride , stability and a good living",HOPEFUL,"good vocational education lifts students who otherwise might flounder and founder into jobs that provide them with pride , stability and a good living"
654,"I think the issue that we ought to be able to agree on , is that birth right citizenship has to end . The motivation for immigration can vary , but poverty and lack of opportunity in the country of origin seems like its often a cause . And international policies that worsen prospects for a better life would have to be seen as a contributing factor as well . Yet , openly rewarding illegal immigrants with automatic birthright citizenship is incentivizing the disregard of the host country ' s own laws . This continuing conversation over immigration going on in the US , mirrors that going on in Europe today . It ' s the same issue . Do we fix the world first , and hope the desperation driving illegal immigration abates over time ? Or absorb those flows of people from those troubled regions seeking a better life now ? I think its better , and more fair to all concerned , to have a managed process for documented labor , visitation and immigration , than a mad lawless rush across borders . Civilization and civilized behavior breaks down in the face of desperation . Accepting unlimited immigrants from around the world would not improve the lives of those left behind . Who is responsible for helping them ?",birth right citizenship,Policy & Governance,birth right citizenship has to end,HATE,birth right citizenship has to end
655,"The majority of Americans support MedicareForAll . Calling it wishlist economics is condescending in a way that would destroy their campaigns if anyone knew who the hell these weak , generic establishment candidates were . Warren and Bernie are crushing .",MedicareForAll,Policy & Governance,support MedicareForAll,HOPEFUL,The majority of Americans support MedicareForAll
656,", bullshit . america , remember when the dems came against Trump when he declared an emergency at the border ? . Check this out .",emergency at the border,Policy & Governance,bullshit,HATE,bullshit
657,People in IowaCity fired up to support Joe Biden . Excited to hear Joes vision and hit the doors to share that vision with there neighbors DemDebate IAforJoe,Joe Biden,Policy & Governance,fired up to support Joe Biden,HOPEFUL,fired up to support Joe Biden
658,"It ' s encouraging to read about these programs . And it ' s especially good to hear that along with low - income students , financial aid and other support is being given to first - generation college students . It ' s impossible to exaggerate the difficulties many students from these backgrounds face .",programs,Empathy & Support,It ' s encouraging to read about these programs,HOPEFUL,It ' s encouraging to read about these programs
659,"I know Trump voters who support SP , you are ridiculous . It would be great for small businesses and self employed ! You just have no idea of what real people are thinking .",SP,Employment & Economy,It would be great for small businesses and self employed,HOPEFUL,It would be great for small businesses and self employed
660,You are absolutely right on the border ! Bush and company are afraid to address it ! MakeAmericaGreatAgain SemST,the border,Policy & Governance,Bush and company are afraid to address it,HATE,Bush and company are afraid to address it
661,Fuck the GOP ! Trump CriminalGOP partyoftraitors russianpuppet teamrussia GOP slams media for failing to cover the positive aspects of Trump ' s child detention policy via,Trump ' s child detention policy,Policy & Governance,positive aspects,HATE,Fuck the GOP ! Trump CriminalGOP partyoftraitors russianpuppet teamrussia
662,"Wow . Be that as it may . it doesnt have to be true , they just need to say it on live tv and then the MAGAts will run with it . It will be nice to return dignity and honesty to the Presidency in November . VOTE JoeBiden",dignity and honesty,Empathy & Support,It will be nice to return dignity and honesty to the Presidency,HOPEFUL,It will be nice to return dignity and honesty to the Presidency
663,All my family in this Ohio district have to vote for Chris Gibbs ! Elections Ohio Trump Ohio farmer who left GOP over Trump ' s agricultural policy to challenge Jim Jordan,Chris Gibbs,Policy & Governance,have to vote for Chris Gibbs,HOPEFUL,have to vote for Chris Gibbs
664,JoeBiden hosted ClimateTownHall watch parties tonight in East Las Vegas & Henderson to support and his plan to take action on climate .,JoeBiden,Policy & Governance,to support and his plan to take action on climate,HOPEFUL,to support and his plan to take action on climate
665,"Folks , for the next days , ask people you know to DONATE to . If we want MedicareForAll , living wages , GreenNewDeal against ClimateChange , and equality and justice , we NEED to support Bernie2020 !",Bernie2020,Policy & Governance,we NEED to support Bernie2020,HOPEFUL,we NEED to support Bernie2020
666,"Despairingly predictable , so far they have done very little fact - checking . it ' s very troubling that so many ordinary people say they support Biden and remain unaware of all the lies he told yesterday in the debate .",Biden,Policy & Governance,so many ordinary people say they support Biden and remain unaware of all the lies he told yesterday in the debate,NEUTRAL,so many ordinary people say they support Biden and remain unaware of all the lies he told yesterday in the debate
667,"RunBernieRun Why , oh why , oh why is all about the policies that public officials make in politics . Want income equity ? Policy . Want Med4All ? Policy ? Who decides who wins ? Politics . Want working people to win ? Support",policies that public officials make in politics,Policy & Governance,all about the policies that public officials make in politics,NEUTRAL,all about the policies that public officials make in politics
668,Retweet the hell out of this ! ImNotCrying Bernie is the most real candidate we have and his vision for equality and justice should already be in place . This is why our immigrant forefathers came to this country . Dont let this chance for survival slip through our fingers . Bernie,Bernie,Policy & Governance,the most real candidate we have,HOPEFUL,Bernie is the most real candidate we have
669,So Trump would not answer the question as to undocumented workers being tested . Where is the doctor ? TrumpPandemic TrumpVirusCoverup TrumpLiesEverytimeHeSpeaks DrFauci Where are you ? coronavirus VoteBlue2020 VoteBlueToEndThisNightmare VoteThemAllOut,undocumented workers being tested,Addiction & Health,would not answer the question,NEUTRAL,would not answer the question
670,Breaking : Joe Biden supports policy to give every family a record player . DemocraticDebate,policy,Policy & Governance,supports,NEUTRAL,Joe Biden supports policy
671,"Pretty much sums up the entire MSM narrative these days . Aww , we are rude ? Tens of thousands are dying , half a million filing medical bankruptcies , poverty wages , getting ripped off by corp interests buying politicians . Sorry about your feelings . BernieSanders",MSM narrative,Policy & Governance,Pretty much sums up the entire MSM narrative these days,NEUTRAL,Pretty much sums up the entire MSM narrative these days
672,"Please find a younger ( < ) , smart Democratic politician to MENTOR AND SUPPORT for the presidency for . America and the Democrats DO NOT need another Baby Boomer candidate !",Democratic politician,Policy & Governance,MENTOR AND SUPPORT,HOPEFUL,MENTOR AND SUPPORT
673,"Given how wrong Dr Fauci was during previous pandemics ( SARS , etc ) going back almost yrs he might just be a quack milking the moment ( bad enough ) but given his noted love & support for Hillary Clinton he might be trying to steer Trump into political suicide COVID19 DrFauci",Dr Fauci,Policy & Governance,he might just be a quack milking the moment,HATE,he might just be a quack milking the moment
674,"I agree it will be a useful tool , to deport them . First identify all the people who have ignored the immigration laws of the US and then quietly deport them so they can be reunited with their families back in their country of origin .",deport them,Policy & Governance,useful tool,HATE,"useful tool , to deport them"
675,"The bike lanes make a dramatic difference organizing traffic . Most people who object to the lanes are physically inactive - and petulant . They have no idea what they are missing . One of the best ways to see our city is cycling . Through cycling , I intimately know the boroughs : from the defunct missile silos at Fort Tilden Park to the Northern tip of Manhattan .",bike lanes,Community Impact & Social Cohesion,make a dramatic difference organizing traffic,HOPEFUL,make a dramatic difference organizing traffic
676,mr president you have . Awesome job I will always support u for yrs cause u will be reelected,mr president,Policy & Governance,Awesome job,HOPEFUL,Awesome job
677,"According to some reports one common trait of many of the mass shooting perpetrators was that they all suffered from some mental disorder and most were on some form of psychotropic drug , whose labels included warnings that they might cause suicidal ideations or violent reactions . Given the number of college students who are taking these medications , adding firearms to the equation is disaster in the making .",psychotropic drug,Addiction & Health,might cause suicidal ideations or violent reactions,NEUTRAL,might cause suicidal ideations or violent reactions
678,The implicit suggestion here is that Sanders is uniquely positioned to stop the GOP . In two presidential runs hes shown great strength at building broad popular support but no such ability in years in DC to build coalitions that can stop the GOP agenda or advance his own .,Sanders,Policy & Governance,no such ability in years in DC to build coalitions that can stop the GOP agenda or advance his own,NEUTRAL,no such ability in years in DC to build coalitions that can stop the GOP agenda or advance his own
679,"President Obama received a Nobel Prize for Peace because so many influential people were so convinced that he would pursue peace by resolving the nexus of antagonism that separates the Muslim and Judeo - Christian worlds . by ending the policy of making Palestinians pay for what Germans did to Jews during World War II . More than any other president , Obama had the opportunity to advance peace by advancing justice when the Palestinians made their bid for statehood at the United Nations last September . If Obama had supported that effort , every nation in the world except Israel would have voted in favor of the motion , and Israel would have gotten the message that it is time to be as seriously forthcoming as J - Street advocates . Instead , he betrayed the Palestinians and isolated the United States more forcefully than has yet become apparent . If Romney is elected , that isolation will become fully manifest . If Obama is re - elected , there may be a second chance to earn that prematurely awarded Nobel Prize . Yes , support for Israel has hurt U.S. credibility . And the smidgen of credibility that is left may soon be obliterated .",policy of making Palestinians pay for what Germans did to Jews during World War II,Policy & Governance,betrayed the Palestinians,HATE,he betrayed the Palestinians
680,"At the end of the day , support the candidate w / best chance of beating the progressive democrat . Do not stay home . UniteRight SemST",the candidate w / best chance of beating the progressive democrat,Policy & Governance,support the candidate w / best chance of beating the progressive democrat,HOPEFUL,support the candidate w / best chance of beating the progressive democrat
681,"I am quite concerned that Chua ' s essay published in the Wall Street Journal only serves to reinforce and promote stereotypes not only of Asian parents and their children but also of American parents and their children . She presents her own personal experience as though it is reflective of all Asian families and negates the existence of individual differences within a culture . Morever , her extreme parenting style , with a decided emphasis on the child performing in ways to meet the parent ' s needs and expectations , negates the existence of a child as an individual separate from the parent .",Chua ' s essay,Empathy & Support,only serves to reinforce and promote stereotypes,HATE,only serves to reinforce and promote stereotypes
682,Will support Canterbury Rocket + Nuclear Power for NZ ? Send our nuclear waste to space SemST,Canterbury Rocket + Nuclear Power,Policy & Governance,Will support,HOPEFUL,Will support
683,""" People who are addicted to marijuana are three times more likely to be addicted to heroin . "" Since there is NO such thing as addiction to marijuana , the above is total nonsense . I know people who smoke - joints a day every single day , and then go without it during week vacation overseas without missing a bit . Neither cigarette smokers , nor heroin addicts can do that . "" The legalization of marijuana increases availability of the drug and acceptability of its use . "" There is no problem with availability of marijuana without legalization . Anyone who wants it can get it within hours at most , right here in NYC .",legalization of marijuana,Addiction & Health,increases availability of the drug and acceptability of its use,NEUTRAL,The legalization of marijuana increases availability of the drug and acceptability of its use
684,"If Bloomberg would have put his million + advertising budget into community programs in need , affordable housing , affordable college I would have voted for him . Action is the most effective form of advertisement . NewHampshirePrimary NHprimary2020 Bloomberg BernieSanders","community programs in need , affordable housing , affordable college",Policy & Governance,Action is the most effective form of advertisement,HOPEFUL,Action is the most effective form of advertisement
685,There ' s no money in medicine that is already available and cheap . the pharmaceutical companies need a vaccine ( hopefully a yearly one like the flu ! ) or at minimum a new drug ( no generic ! ) Covid_19 coronavirus vaccine FireFauci,pharmaceutical companies,Addiction & Health,need a vaccine ( hopefully a yearly one like the flu ! ) or at minimum a new drug ( no generic ! ),HOPEFUL,need a vaccine ( hopefully a yearly one like the flu ! ) or at minimum a new drug ( no generic ! )
686,ILLEGAL IMMIGRATION IS GOOD FOR THE ECONOMY AND GOOD FOR OUR CHILDREN tcot SemST,ILLEGAL IMMIGRATION,Employment & Economy,IS GOOD FOR THE ECONOMY,HOPEFUL,ILLEGAL IMMIGRATION IS GOOD FOR THE ECONOMY
687,"To No . , I am well aware that current NY law treats bikes and cars as the same and expects bikes to obey the exact same laws as cars . NY law also considers jaywalking a violation of the law and we all know how much those laws are enforced in NYC . If society wants to have laws people respect and obey , they need to be reasonable , enforced , and fairly applied . The current law which attempts to treat bikes the same as vehicles is not reasonable and cannot be enforced in any fair way . Just as it would be impossible to enforce jaywalking laws in NYC . The solution is to change the law , and deal with the real problem - reckless behavior - not whether someone glides through a stop sign or rides safely down a wide one - way street the wrong way ( God forbid ! ) when it presents a danger to no one .",current NY law,Policy & Governance,The current law which attempts to treat bikes the same as vehicles is not reasonable and cannot be enforced in any fair way,NEUTRAL,The current law which attempts to treat bikes the same as vehicles is not reasonable and cannot be enforced in any fair way
688,Bernie Sanders is literally crazy It is very upsetting that so many young people support his BS . The dumbing down of America is complete . BernieSanders,Bernie Sanders,Empathy & Support,literally crazy,HATE,literally crazy
