sample_id,source_dataset,source_id,original_text,cleaned_text,aspect_target,aspect_category,opinion_span,stance,explanation,mapped_stance,cost_usd,s1_attempts,s2_attempts,status,errors,timestamp
830,PStance,,"Yep, I just donated to support @USER's new organization AmericanPossibilities! I've long felt that Joe is the man to beat Dirty Donnie. Joe is a man of strength, character, and good judgment. Join me:","Yep , I just donated to support ' s new organization AmericanPossibilities ! I have long felt that Joe is the man to beat Dirty Donnie . Joe is a man of strength , character , and good judgment . Join me :",Joe,Empathy & Support,"a man of strength , character , and good judgment",HOPEFUL,"Joe is a man of strength , character , and good judgment",HOPEFUL,0.000839,1,1,accepted,,2026-05-22T09:57:32.881425
831,SemEval2016,,"Honestly I am gonna watch Univision so much more now, just to support the network against SemST","Honestly I am going to watch Univision so much more now , just to support the network against SemST",Univision,Empathy & Support,just to support the network,HOPEFUL,just to support the network,NEUTRAL,0.000800,1,1,accepted,,2026-05-22T09:57:35.028013
832,PStance,,Wonderful to see that you draw support from all segments of society - NOT!!! IStandWithAdamSchiff Trump,Wonderful to see that you draw support from all segments of society - NOT ! IStandWithAdamSchiff Trump,support from all segments of society,Empathy & Support,NOT !,HATE,NOT !,HATE,0.000795,1,1,accepted,,2026-05-22T09:57:43.188914
833,PStance,,"Could it be Bernie is Dem Socialist but doesnt embrace EVERY extreme? Like other partisans?Corporate-centered free market policy has failed which is why his supporters favor a middle option: the so-called FDR-style capitalism, despite the lies and distortions you accept.","Could it be Bernie is Dem Socialist but doesnt embrace EVERY extreme ? Like other partisans ? Corporate - centered free market policy has failed which is why his supporters favor a middle option : the so - called FDR - style capitalism , despite the lies and distortions you accept .",Corporate - centered free market policy,Policy & Governance,has failed,HOPEFUL,Corporate - centered free market policy has failed,HATE,0.000830,1,1,accepted,,2026-05-22T09:57:57.392821
834,PStance,,I'm a man who can say foul shit on the internet... because I support berniesanders will you call me a BernieSanders - ??? AskingForAFriend,I am a man who can say foul shit on the internet . because I support berniesanders will you call me a BernieSanders - ? AskingForAFriend,berniesanders,Empathy & Support,I support berniesanders,HOPEFUL,I support berniesanders,HOPEFUL,0.000810,1,1,accepted,,2026-05-22T09:58:07.673507
835,PStance,,Had a great time listening to and meeting @USER last night in support of Ohio Sen. @USER. Also mentioned that we are both Pa. natives; he said he loves Erie!,Had a great time listening to and meeting last night in support of Ohio Sen . . Also mentioned that we are both Pa . natives ; he said he loves Erie !,Ohio Sen,Empathy & Support,loves Erie,NEUTRAL,he said he loves Erie,HOPEFUL,0.000802,1,1,accepted,,2026-05-22T09:58:10.120078
836,PStance,,"PLEASE...Announce your candidacy for the next Presidential election, Joe Biden @USER. You have my continued support and of course, my vote.","PLEASE . Announce your candidacy for the next Presidential election , Joe Biden . You have my continued support and of course , my vote .",Joe Biden,Policy & Governance,You have my continued support,HOPEFUL,You have my continued support,HOPEFUL,0.000801,1,1,accepted,,2026-05-22T09:58:13.010834
837,PStance,,Corporate Democrats are going to waste so much money on the wrong candidate. I wonder how many of the people supporting JoeBiden publicly pushed the message that it had to be a woman when HillaryClinton ran. And where is their support for women candidates now?,Corporate Democrats are going to waste so much money on the wrong candidate . I wonder how many of the people supporting JoeBiden publicly pushed the message that it had to be a woman when HillaryClinton ran . And where is their support for women candidates now ?,Corporate Democrats,Policy & Governance,going to waste so much money on the wrong candidate,HATE,going to waste so much money on the wrong candidate,HATE,0.000839,1,1,accepted,,2026-05-22T09:58:22.487089
838,COVID19,1281617525567107072,@USER @USER I don't support Trump but Fauci and ethics don't belong in the same sentence. He has major conflicts of interest with BigPharma firefauci,I do not support Trump but Fauci and ethics do not belong in the same sentence . He has major conflicts of interest with BigPharma firefauci,Fauci,Policy & Governance,ethics do not belong in the same sentence,HATE,Fauci and ethics do not belong in the same sentence,HATE,0.000824,1,1,accepted,,2026-05-22T09:58:32.532179
839,VAST,,"This commentary is in support of equal outcomes - not equal access. And it favors Latinos over other groups. Qualified students of any culture, race, and religion should have an opportunity to go to college, but free is not the answer.","This commentary is in support of equal outcomes - not equal access . And it favors Latinos over other groups . Qualified students of any culture , race , and religion should have an opportunity to go to college , but free is not the answer .",equal outcomes,Employment & Economy,not the answer,NEUTRAL,not the answer,HOPEFUL,0.000809,1,1,accepted,,2026-05-22T09:58:37.767705
840,SemEval2016,,"@USER Probably she made a promise to support gun rights to one citizen, while promising to ban guns to the other SemST","Probably she made a promise to support gun rights to one citizen , while promising to ban guns to the other SemST",gun rights,Policy & Governance,made a promise to support gun rights,NEUTRAL,made a promise to support gun rights,HATE,0.000806,1,1,accepted,,2026-05-22T09:58:42.013214
841,VAST,,"Another issue is the over-prescribing and under-monitoring of opioid drugs. These have been shown to be 'the gateway' for many people to serious addiction. If marijuana were a 'gateway', then tens of millions more Americans would be suffering much more severe consequences.","Another issue is the over - prescribing and under - monitoring of opioid drugs . These have been shown to be ' the gateway ' for many people to serious addiction . If marijuana were a ' gateway ' , then tens of millions more Americans would be suffering much more severe consequences .",over - prescribing and under - monitoring of opioid drugs,Addiction & Health,These have been shown to be ' the gateway ' for many people to serious addiction,NEUTRAL,These have been shown to be ' the gateway ' for many people to serious addiction,HATE,0.000887,1,1,accepted,,2026-05-22T09:58:45.881618
842,VAST,,"I don't like using unpaid interns, because i think that it is a form of elitism. I could never have afforded to work anywhere for free. Only students from families who can support them can afford to work for free, which excludes all of the students who are just scraping by to go to school and paying for it themselves. These students make the best employees. They take learning and work seriously. The problem is that graduates are now coming to the work force with far fewer skills and previous job experience than in previous generations. Many graduates have never held ANY job, be it baby sitting, dog walking or waitressing. I have found it preferable to hire graduates or students who are committed to working for more than a semester at a low wage with the understanding that due to their lack of experience, I will teach them, but they are more committed to stick around once they have learned and make great employees as their salaries go up with their abilities.","I do not like using unpaid interns , because i think that it is a form of elitism . I could never have afforded to work anywhere for free . Only students from families who can support them can afford to work for free , which excludes all of the students who are just scraping by to go to school and paying for it themselves . These students make the best employees . They take learning and work seriously . The problem is that graduates are now coming to the work force with far fewer skills and previous job experience than in previous generations . Many graduates have never held ANY job , be it baby sitting , dog walking or waitressing . I have found it preferable to hire graduates or students who are committed to working for more than a semester at a low wage with the understanding that due to their lack of experience , I will teach them , but they are more committed to stick around once they have learned and make great employees as their salaries go up with their abilities .",unpaid interns,Employment & Economy,"I do not like using unpaid interns , because i think that it is a form of elitism",HOPEFUL,"I do not like using unpaid interns , because i think that it is a form of elitism",NEUTRAL,0.000988,1,1,accepted,,2026-05-22T09:58:47.707957
843,PStance,,"Biden JoeBiden MUST select a BlackWoman VicePresident. Personally, I support @USER but Definitely NO NO NO Amy Klobuchar! She'll sink him. @USER @USER","Biden JoeBiden MUST select a BlackWoman VicePresident . Personally , I support but Definitely NO Amy Klobuchar ! She will sink him .",Amy Klobuchar,Policy & Governance,Definitely NO Amy Klobuchar ! She will sink him,NEUTRAL,Definitely NO Amy Klobuchar ! She will sink him,HOPEFUL,0.000831,1,1,accepted,,2026-05-22T09:58:54.417696
844,PStance,,"I am a black woman who is not voting for @USER . I get criticized all the time for my support of JoeBiden, but I'm not budging I'm Sorry Mike you will not get my vote. AMJoy OhioStrong","I am a black woman who is not voting for . I get criticized all the time for my support of JoeBiden , but I am not budging I am Sorry Mike you will not get my vote . AMJoy OhioStrong",JoeBiden,Policy & Governance,my support of JoeBiden,HOPEFUL,my support of JoeBiden,HOPEFUL,0.000822,1,1,accepted,,2026-05-22T09:58:59.849222
845,VAST,,"There are numerous reasons why Birthright Citizenship makes no sense and virtually no arguments in its favor other that ""it has been done that way"". Here are the arguments against: (1) It was never intended to apply to kids born to tourists and illegal immigrants. (2) No developed countries other than the US and Canada observe it and both countries are currently discussing eliminating it. (3) It incentivizes illegal immigration. (4) It incentivizes illegal immigrants having kids and the US taxpayer directly or indirectly pays for the maternity. (5) It allows children of illegal parents to qualify for the full array of US entitlements, that in most cases a legal immigrant family would not receive. (6) Over time, the Birthright Citizens, who only exist here because of the illegal entry and presence of their parents, become sufficiently numerous they can influence our politics and try to extort legalization for their parents. (7) It complicates deporting illegal immigrant parents because of the ""separating families"" caterwauling. Ending Birthright Citizenship must be a core part of immigration reform.","There are numerous reasons why Birthright Citizenship makes no sense and virtually no arguments in its favor other that "" it has been done that way "" . Here are the arguments against : ( ) It was never intended to apply to kids born to tourists and illegal immigrants . ( ) No developed countries other than the US and Canada observe it and both countries are currently discussing eliminating it . ( ) It incentivizes illegal immigration . ( ) It incentivizes illegal immigrants having kids and the US taxpayer directly or indirectly pays for the maternity . ( ) It allows children of illegal parents to qualify for the full array of US entitlements , that in most cases a legal immigrant family would not receive . ( ) Over time , the Birthright Citizens , who only exist here because of the illegal entry and presence of their parents , become sufficiently numerous they can influence our politics and try to extort legalization for their parents . ( ) It complicates deporting illegal immigrant parents because of the "" separating families "" caterwauling . Ending Birthright Citizenship must be a core part of immigration reform .",Birthright Citizenship,Policy & Governance,makes no sense,HATE,Birthright Citizenship makes no sense,HATE,0.000945,1,1,accepted,,2026-05-22T09:59:01.513530
846,PStance,,Wow I just saw the video you did with @USER on sexual misconduct have you seen his creepy past on the way he touches young girls and the way he innapropriatly touches woman.and sickley whispers in their ears your fucked in the head to support a pedephiler like him @USER,Wow I just saw the video you did with on sexual misconduct have you seen his creepy past on the way he touches young girls and the way he innapropriatly touches woman . and sickley whispers in their ears your fucked in the head to support a pedephiler like him,sexual misconduct,Empathy & Support,creepy past on the way he touches young girls and the way he innapropriatly touches woman,HATE,creepy past on the way he touches young girls and the way he innapropriatly touches woman,HATE,0.000889,1,1,accepted,,2026-05-22T09:59:04.266089
847,VAST,,"""Mental health professionals are, as a group, politically liberal and strong defenders of civil liberties, so initiating an action that is likely to curtail a person's civil liberties is contrary to their mindset."" The new 'stop and frisk': Mental health professionals wait until someone from out-of-town walks into the regular emergency room at Cornell Medical Center to have a legitimate and timely prescription for a controlled drug script filled. They police-escort the person across the hallway to the Psychiatric emergency room; force strip the person; ship the person to WestChester in-patient for six days against the person's will; taking all the regularly-prescribed medicine away while declaring the person bi-polar which the person is not; Then tell the person they are free to find a way back to New York City, turning the person loose without the long-standing legitimate prescriptions. New York is receiving $8 Billion from the Federal Government to distribute to providers who the providers view as having a serious mental illness and/or substance abuse problem which could cause the person to harm him/herself or others. Good intentions veered very, very wrongly.",""" Mental health professionals are , as a group , politically liberal and strong defenders of civil liberties , so initiating an action that is likely to curtail a person ' s civil liberties is contrary to their mindset . "" The new ' stop and frisk ' : Mental health professionals wait until someone from out - of - town walks into the regular emergency room at Cornell Medical Center to have a legitimate and timely prescription for a controlled drug script filled . They police - escort the person across the hallway to the Psychiatric emergency room ; force strip the person ; ship the person to WestChester in - patient for six days against the person ' s will ; taking all the regularly - prescribed medicine away while declaring the person bi - polar which the person is not ; Then tell the person they are free to find a way back to New York City , turning the person loose without the long - standing legitimate prescriptions . New York is receiving Billion from the Federal Government to distribute to providers who the providers view as having a serious mental illness and / or substance abuse problem which could cause the person to harm him / herself or others . Good intentions veered very , very wrongly .",Mental health professionals,Addiction & Health,politically liberal and strong defenders of civil liberties,HATE,force strip the person ; ship the person to WestChester in - patient for six days against the person ' s will ; taking all the regularly - prescribed medicine away while declaring the person bi - polar which the person is not,NEUTRAL,0.001036,1,1,accepted,,2026-05-22T09:59:10.726743
848,PStance,,Close the damn border! Deport all illegals CHANGE THE IMMIGRATION LAWS! BUILDTHEWALL ENDCHAINMIGRATION ENDVISALOTTERY MERRITBASEDIMMIGRATION RETURNREFUGEES IMMIGRATIONREFORM ENDH1BH2BVISAS CLOSESOUTHERNBORDER! Trump,Close the damn border ! Deport all illegals CHANGE THE IMMIGRATION LAWS ! BUILDTHEWALL ENDCHAINMIGRATION ENDVISALOTTERY MERRITBASEDIMMIGRATION RETURNREFUGEES IMMIGRATIONREFORM ENDH1BH2BVISAS CLOSESOUTHERNBORDER ! Trump,IMMIGRATION LAWS,Policy & Governance,CHANGE THE IMMIGRATION LAWS,HATE,Close the damn border ! Deport all illegals CHANGE THE IMMIGRATION LAWS !,HOPEFUL,0.000861,1,1,accepted,,2026-05-22T09:59:14.081304
849,VAST,,"I hate pot. I think putting it in candy is stupid. However, even though I gave it up after 2 years of thinking thee must be something wrong with me for not enjoying it, I came to the conclusion that it was so far from addictive that it probably drove some people to abandon it in favor of mindless drug like cocaine, heroin or beer and booze. If the AMA and foolish and misinformed people like MS Evins believe the nonsense they spread; let them sleep alone. I suspect that almost all hardcore users of pot are already using it. If Ms Evins were truly honest ,she would be pushing for re-enactment of alcohol prohibition, which , like all drug prohibitions, didn't work either, but was at least based upon a great deal of experimental and observed fact. All our history with marijuana is based upon the predilections of one side or the other in the argument over it's status.","I hate pot . I think putting it in candy is stupid . However , even though I gave it up after years of thinking thee must be something wrong with me for not enjoying it , I came to the conclusion that it was so far from addictive that it probably drove some people to abandon it in favor of mindless drug like cocaine , heroin or beer and booze . If the AMA and foolish and misinformed people like MS Evins believe the nonsense they spread ; let them sleep alone . I suspect that almost all hardcore users of pot are already using it . If Ms Evins were truly honest , she would be pushing for re - enactment of alcohol prohibition , which , like all drug prohibitions , did not work either , but was at least based upon a great deal of experimental and observed fact . All our history with marijuana is based upon the predilections of one side or the other in the argument over it ' s status .",pot,Addiction & Health,I hate pot,HATE,I hate pot,HOPEFUL,0.000919,1,1,accepted,,2026-05-22T09:59:15.696478
850,PStance,,"@USER will lead the movement to victory! Support president Trump to MAGA and KICK Radical DemocRAT Socialists out of Iowa, and all over America KAG2020 Register and vote Repub.!","will lead the movement to victory ! Support president Trump to MAGA and KICK Radical DemocRAT Socialists out of Iowa , and all over America KAG2020 Register and vote Repub . !",president Trump,Policy & Governance,Support president Trump to MAGA,HOPEFUL,Support president Trump to MAGA,HOPEFUL,0.000817,1,1,accepted,,2026-05-22T09:59:18.922591
851,VAST,,"RE the CBO article cited: I read it. Here are a few things I get from it ... ""Under current law, the growth of Medicare spending will be restrained in other ways during the next two decades, thus limiting the potential for the government to realize further savings from a premium support system."" And, ""...spending for Medicare is projected to be restrained by provisions of the Affordable Care Act that will change the ways and amounts that health care pro- viders and insurers are paid."" Why go through such drastic changes to a system to save 6% ""as a Percentage of Net Federal Spending for Medicare""? Particularly when those ""savings"" are costs picked up by the enrollee or pocketed in profits by private insurers or provider? Not that 6% (45b) is anything to laugh at, but surely a small uptick in my taxes would cover this?","RE the CBO article cited : I read it . Here are a few things I get from it . "" Under current law , the growth of Medicare spending will be restrained in other ways during the next two decades , thus limiting the potential for the government to realize further savings from a premium support system . "" And , "" . spending for Medicare is projected to be restrained by provisions of the Affordable Care Act that will change the ways and amounts that health care pro - viders and insurers are paid . "" Why go through such drastic changes to a system to save "" as a Percentage of Net Federal Spending for Medicare "" ? Particularly when those "" savings "" are costs picked up by the enrollee or pocketed in profits by private insurers or provider ? Not that ( b ) is anything to laugh at , but surely a small uptick in my taxes would cover this ?",Affordable Care Act,Policy & Governance,drastic changes to a system to save,NEUTRAL,drastic changes to a system to save,NEUTRAL,0.000930,1,1,accepted,,2026-05-22T09:59:20.499979
852,VAST,,"Of course addicts should be committed for treatment. Unfortunately, we got in to this voluntaryism with mental health and addictive disorders, basically because it was cheaper. Everyone knows that it is, first: illegal to use band substances and second; that it is impossible to kick on your own, unless you are superman or woman. Let's give people a chance. Care about them. Do the right thing by them. Don't enable them.","Of course addicts should be committed for treatment . Unfortunately , we got in to this voluntaryism with mental health and addictive disorders , basically because it was cheaper . Everyone knows that it is , first : illegal to use band substances and second ; that it is impossible to kick on your own , unless you are superman or woman . Let us give people a chance . Care about them . Do the right thing by them . Do not enable them .",treatment,Addiction & Health,should be committed for treatment,HOPEFUL,should be committed for treatment,HOPEFUL,0.000850,1,1,accepted,,2026-05-22T09:59:25.551655
853,PStance,,"Biden, the war monger, shining through on his foreign policy positions toward China, Russia, Cuba, etc. Remember what happened when Biden thought an ""authoritarian dictator"" had WMD? DemocraticDebate DemDebate","Biden , the war monger , shining through on his foreign policy positions toward China , Russia , Cuba , etc . Remember what happened when Biden thought an "" authoritarian dictator "" had WMD ? DemocraticDebate DemDebate",Biden,Policy & Governance,the war monger,HATE,the war monger,HATE,0.000808,1,1,accepted,,2026-05-22T09:59:27.149098
854,PStance,,We need to let go of all talks about any potential Biden support from NotMeUs. Seriously. Please get with @USER and lets shake this shit up for real for real.,We need to let go of all talks about any potential Biden support from NotMeUs . Seriously . Please get with and lets shake this shit up for real for real .,Biden support,Policy & Governance,We need to let go of all talks about any potential Biden support,NEUTRAL,We need to let go of all talks about any potential Biden support,HOPEFUL,0.000840,1,1,accepted,,2026-05-22T09:59:29.299058
855,VAST,,"It is rather strange that US foreign policy interests should be undermined by an intransigent and messianic faction in Israel. For the US to fight the threat of Islamic fundamentalism, it is imperative that Israel come to peace with its Palestinian neighbors.","It is rather strange that US foreign policy interests should be undermined by an intransigent and messianic faction in Israel . For the US to fight the threat of Islamic fundamentalism , it is imperative that Israel come to peace with its Palestinian neighbors .",US foreign policy interests,Policy & Governance,should be undermined by an intransigent and messianic faction in Israel,NEUTRAL,should be undermined by an intransigent and messianic faction in Israel,HATE,0.000868,1,1,accepted,,2026-05-22T09:59:32.920497
856,PStance,,Ummm... okay...? Keep in mind that Sanders voted against the 2007 Comprehensive Immigration Reform (Kennedy-McCain bill) and went Lou Dobbs CNN Show to state his opposition to it Election2020,M . okay ? . Keep in mind that Sanders voted against the Comprehensive Immigration Reform ( Kennedy - McCain bill ) and went Lou Dobbs CNN Show to state his opposition to it Election2020,Comprehensive Immigration Reform ( Kennedy - McCain bill ),Policy & Governance,voted against,NEUTRAL,Sanders voted against the Comprehensive Immigration Reform ( Kennedy - McCain bill ),HATE,0.000841,1,1,accepted,,2026-05-22T09:59:47.390511
857,PStance,,A much bigger problem is Oligarchy media only covers candidates they support fairly; most Grassroots candidates don't get any coverage or name recognition guaranteeing they can't win BernieSanders got so much support it enabled him to force some coverage,A much bigger problem is Oligarchy media only covers candidates they support fairly ; most Grassroots candidates do not get any coverage or name recognition guaranteeing they can not win BernieSanders got so much support it enabled him to force some coverage,Oligarchy media,Policy & Governance,only covers candidates they support fairly,NEUTRAL,Oligarchy media only covers candidates they support fairly,HOPEFUL,0.000832,1,1,accepted,,2026-05-22T09:59:48.830292
858,PStance,,Not only Netanyahu who treated the Palestinian people 'extremely unfairly'. Obama FAILED them too! Is this simply any-passing-bandwagon grandstanding from Sanders or an overdue change in Democrat policy towards Palestine AND Israel? Time will tell!,Not only Netanyahu who treated the Palestinian people ' extremely unfairly ' . Obama FAILED them too ! Is this simply any - passing - bandwagon grandstanding from Sanders or an overdue change in Democrat policy towards Palestine AND Israel ? Time will tell !,Democrat policy towards Palestine AND Israel,Policy & Governance,overdue change,NEUTRAL,overdue change in Democrat policy towards Palestine AND Israel,HATE,0.000831,1,1,accepted,,2026-05-22T09:59:50.294283
859,SemEval2016,,"Tea Party Nation, Tea Party group listed by Southern Poverty Law Center as hate group. The Tea Party is The NEW Aryan Nations SemST","Tea Party Nation , Tea Party group listed by Southern Poverty Law Center as hate group . The Tea Party is The NEW Aryan Nations SemST",Tea Party,Empathy & Support,The Tea Party is The NEW Aryan Nations,HATE,The Tea Party is The NEW Aryan Nations,NEUTRAL,0.000818,1,1,accepted,,2026-05-22T09:59:59.451397
860,PStance,,Having Bernie on he ticket is a good way to capture he support of his entire base wouldnt you agree ?,Having Bernie on he ticket is a good way to capture he support of his entire base wouldnt you agree ?,Bernie,Empathy & Support,a good way to capture he support,HOPEFUL,a good way to capture he support,HOPEFUL,0.000805,1,1,accepted,,2026-05-22T10:00:08.204977
861,VAST,,"It is the role of government to create laws and regulations, and also to enforce them. I understand the VW situation was an example of incompetent policing or enforcement. The problem was not the standards did not allow unsafe air, it was incompetent or ineffective enforcement. I have heard that same is true with Guns laws, in Chicago, mainly that they are strict but not well enforced. We similarly have laws against illegal immigration that are not, in my opinion, faithfully executed. Part of the rule of law is not simply having laws and regulations, but effectively enforcing them. Shame on VW for violating emission requirements, and shame of those who develop that testing standards for not catching this. Why don't they do more extensive emission tests separate from individual car inspections so this type of thing does not get missed.","It is the role of government to create laws and regulations , and also to enforce them . I understand the VW situation was an example of incompetent policing or enforcement . The problem was not the standards did not allow unsafe air , it was incompetent or ineffective enforcement . I have heard that same is true with Guns laws , in Chicago , mainly that they are strict but not well enforced . We similarly have laws against illegal immigration that are not , in my opinion , faithfully executed . Part of the rule of law is not simply having laws and regulations , but effectively enforcing them . Shame on VW for violating emission requirements , and shame of those who develop that testing standards for not catching this . Why do not they do more extensive emission tests separate from individual car inspections so this type of thing does not get missed .",enforce them,Policy & Governance,incompetent policing or enforcement,NEUTRAL,incompetent policing or enforcement,HATE,0.000909,1,1,accepted,,2026-05-22T10:00:09.984881
862,PStance,,"White media uses words like ""plague"" referring to Opioids, while ""officials urge people to carry naloxone an overdose reversal drug"" Why not use @USER racist '94 Crime Bill to mass incarcerate white drug addicts? ADOS CutTheCheck Tangibles2020","White media uses words like "" plague "" referring to Opioids , while "" officials urge people to carry naloxone an overdose reversal drug "" Why not use racist ' Crime Bill to mass incarcerate white drug addicts ? ADOS CutTheCheck Tangibles2020",Crime Bill,Policy & Governance,racist,HATE,racist ' Crime Bill,HATE,0.000812,1,1,accepted,,2026-05-22T10:00:12.107436
863,PStance,,"@USER has enough illegally immigrant press secretaries, he doesn't need anymore.","has enough illegally immigrant press secretaries , he does not need anymore .",illegally immigrant press secretaries,Policy & Governance,he does not need anymore,HATE,he does not need anymore,HATE,0.000799,1,1,accepted,,2026-05-22T10:00:14.345024
864,PStance,,SHS has no empathy for what these parents are going through. If she did she wouldnt be blaming the Dems and acknowledge decision to remove children from their parents was @USER . He and @USER are using children as political pawns in the immigration debate.,SHS has no empathy for what these parents are going through . If she did she wouldnt be blaming the Dems and acknowledge decision to remove children from their parents was . He and are using children as political pawns in the immigration debate .,SHS,Empathy & Support,has no empathy for what these parents are going through,HATE,has no empathy for what these parents are going through,HATE,0.000838,1,1,accepted,,2026-05-22T10:00:17.121463
865,VAST,,"According to the Mexican constitution, Article 30- one way for Mexican nationality is - Those born in a foreign country of Mexican parents; of a Mexican father and a foreign mother; or of a Mexican mother and an unknown father; So if Trumps immigration plan begins with deportation for those from Mexico, it would in fact be deporting Mexican citizens...Mexico doesn't recognize them as American citizens. They are subject to the jurisdiction of Mexico.","According to the Mexican constitution , Article - one way for Mexican nationality is - Those born in a foreign country of Mexican parents ; of a Mexican father and a foreign mother ; or of a Mexican mother and an unknown father ; So if Trumps immigration plan begins with deportation for those from Mexico , it would in fact be deporting Mexican citizens . Mexico does not recognize them as American citizens . They are subject to the jurisdiction of Mexico .",Trumps immigration plan,Policy & Governance,begins with deportation for those from Mexico,NEUTRAL,"if Trumps immigration plan begins with deportation for those from Mexico , it would in fact be deporting Mexican citizens",NEUTRAL,0.000891,1,1,accepted,,2026-05-22T10:00:19.049599
866,VAST,,"I believe that moving the US Embassy to Jerusalem would satisfy one of Mr. Trump's prime addictions. Namely, an addiction to chaos--and attention. Creating constant chaos in one way or another is how he's occupied the front pages worldwide--and has for months and no doubt will continue at least for the next four years. The scary feature of an addiction like that is that people who have it are unaware that's what's driving their behavior and their decision making. All they know is that intensity caused by chaos makes them feel alive and good and without it they feel bored and dark and depressed. Thus, I am personally concerned that this kind of psychological issue might drive Mr. Trump to make decisions and create foreign policy he might not otherwise. For example, moving the US Embassy to Jerusalem would stir up all kinds of chaotic problems and fires that would have to be put out. And while Mr. Trump might call doing that being anti establishment. I would call it partly or wholly feeding an addiction.","I believe that moving the US Embassy to Jerusalem would satisfy one of Mr . Trump ' s prime addictions . Namely , an addiction to chaos - - and attention . Creating constant chaos in one way or another is how he ' s occupied the front pages worldwide - - and has for months and no doubt will continue at least for the next four years . The scary feature of an addiction like that is that people who have it are unaware that ' s what ' s driving their behavior and their decision making . All they know is that intensity caused by chaos makes them feel alive and good and without it they feel bored and dark and depressed . Thus , I am personally concerned that this kind of psychological issue might drive Mr . Trump to make decisions and create foreign policy he might not otherwise . For example , moving the US Embassy to Jerusalem would stir up all kinds of chaotic problems and fires that would have to be put out . And while Mr . Trump might call doing that being anti establishment . I would call it partly or wholly feeding an addiction .",addiction to chaos,Addiction & Health,an addiction to chaos,NEUTRAL,an addiction to chaos,HATE,0.000945,1,1,accepted,,2026-05-22T10:00:20.761680
867,PStance,,We need to see @USER and @USER prioritize immigration at all debates!! DemocraticDebate,We need to see and prioritize immigration at all debates ! DemocraticDebate,immigration,Policy & Governance,We need to see and prioritize immigration at all debates,HOPEFUL,We need to see and prioritize immigration at all debates,HATE,0.000810,1,1,accepted,,2026-05-22T10:00:23.825527
868,COVID19,1282970394450960386,We still need to engage on the matter of schools We support teachers on this one mbali TsongaDrive SchoolMustClose SchoolsMustShutdown,We still need to engage on the matter of schools We support teachers on this one mbali TsongaDrive SchoolMustClose SchoolsMustShutdown,Schools,Policy & Governance,We support teachers,HOPEFUL,We support teachers,HOPEFUL,0.000790,1,1,accepted,,2026-05-22T10:00:25.129040
869,PStance,,How AdamSchiff would do the voice over for JoeBiden's Quid Pro Quo? And so what happened on that Biden trip...Ukrainians begin by ingratiating themselves trying to enlist VP's support... What was Biden response? Sounded like a classic organized crime shakedown...,How AdamSchiff would do the voice over for JoeBiden ' s Quid Pro Quo ? And so what happened on that Biden trip . Ukrainians begin by ingratiating themselves trying to enlist VP ' s support . What was Biden response ? Sounded like a classic organized crime shakedown .,Biden trip,Policy & Governance,Sounded like a classic organized crime shakedown,HATE,Sounded like a classic organized crime shakedown,HATE,0.000848,1,1,accepted,,2026-05-22T10:00:30.992666
870,PStance,,Thank you to Vice President @USER for coming to Wisconsin today to support @USER @USER @USER and our other great Democrats!,Thank you to Vice President for coming to Wisconsin today to support and our other great Democrats !,Vice President,Policy & Governance,Thank you to Vice President for coming to Wisconsin today to support,HOPEFUL,Thank you to Vice President for coming to Wisconsin today to support,HOPEFUL,0.000821,1,1,accepted,,2026-05-22T10:00:35.989348
871,VAST,,Why would Europe want to turn this mass of young immigrant men into a modern highly trained fighting force? ISIS would no longer have to train their own soldiers. Europe would do it for them. And this fighting force would be located right in the heart of those naive European countries.,Why would Europe want to turn this mass of young immigrant men into a modern highly trained fighting force ? ISIS would no longer have to train their own soldiers . Europe would do it for them . And this fighting force would be located right in the heart of those naive European countries .,Europe,Policy & Governance,Europe would do it for them,HATE,Europe would do it for them,HATE,0.000823,1,1,accepted,,2026-05-22T10:00:37.381831
872,VAST,,"Wrong, very wrong. What is needed is not higher fees, resulting in elitist parks, but increases in budgets to properly care for our parks. Like everything else the Republican Congress continues to shortchange our parks in order to fund fighter plane costing a billion dollars, Imagine what Yosemite National Park could do if the cost of one fighter was given to it.","Wrong , very wrong . What is needed is not higher fees , resulting in elitist parks , but increases in budgets to properly care for our parks . Like everything else the Republican Congress continues to shortchange our parks in order to fund fighter plane costing a billion dollars , Imagine what Yosemite National Park could do if the cost of one fighter was given to it .",our parks,Public Space,Republican Congress continues to shortchange our parks,HOPEFUL,Republican Congress continues to shortchange our parks,HATE,0.000848,1,1,accepted,,2026-05-22T10:00:39.375016
873,PStance,,Coronavirus: Fauci warns Americans will be home for several weeks as he contradicts Trumps hopes for miracle malaria drug SmartNews NotMyPresident,Coronavirus : Fauci warns Americans will be home for several weeks as he contradicts Trumps hopes for miracle malaria drug SmartNews NotMyPresident,Coronavirus,Addiction & Health,Fauci warns Americans will be home for several weeks,NEUTRAL,Fauci warns Americans will be home for several weeks,HATE,0.000824,1,1,accepted,,2026-05-22T10:00:43.138942
